,id,nombre,rubro,caracteristica,telefonos,direccion,localidad,Latitud,Longitud
0,1,Camba Cuá,Camping,3773.0,408474.0,Ruta 40 y Yaguarete,Col. Carlos Pellegrini,,
1,2,Municipal Ibera,Camping,3773.0,458926.0,Mbigua y Laguna Ibera,Col. Carlos Pellegrini,,
2,3,Aires del Ibera,Cabañas,3773.0,403173.0,Caranguata y Tuyuyu,Col. Carlos Pellegrini,,
3,4,Camba Cuá 1,Cabañas,3773.0,408474.0,Guazuvira y Curupi,Col. Carlos Pellegrini,,
4,5,Camba Cuá 2,Cabañas,3773.0,408474.0,Aguape y Capivara,Col. Carlos Pellegrini,,
5,6,Capivara,Cabañas,3773.0,407587.0,Yaguarete entre Yatai y Pindo,Col. Carlos Pellegrini,,
6,7,Don Rubito ,Cabañas,3773.0,4105886.0,Nangapiri entre Panambi y Ruta 40,Col. Carlos Pellegrini,,
7,8,EI Rancho de Faustina ,Cabañas,3756.0,458953.0, Yeruti y Yatai,Col. Carlos Pellegrini,,
8,9,Ibera Nativo,Cabañas,3773.0,404188.0,Curupi y Capivara,Col. Carlos Pellegrini,,
9,10,Nde Roga,Cabañas,3784.0,840808.0,Yaguareté y Mburucuya,Col. Carlos Pellegrini,,
10,11,Aguape Lodge,Hoteles & Posadas,3773.0,413081.0,Yacare entre Ñangapiri y Timbo,Col. Carlos Pellegrini,,
11,12,Arandu,Hoteles & Posadas,3718.0,514361.0,Aguara y Aguape,Col. Carlos Pellegrini,,
12,13,Che Teindy,Hoteles & Posadas,3773.0,438793.0,Mburucuya y Aguara,Col. Carlos Pellegrini,,
13,14,Eco Posada del Estero,Hoteles & Posadas,3773.0,443602.0,Yaguarete entre Pindo y Yatai,Col. Carlos Pellegrini,,
14,15,Posada Yacare,Hoteles & Posadas,3773.0,415329.0,Curupi entre Aguara y Yaguarete,Col. Carlos Pellegrini,,
15,16,,,,,,,,
16,17,,,,,,,,
17,18,,,,,,,,
18,19,,,,,,,,
19,20,,,,,,,,
20,21,,,,,,,,
21,22,,,,,,,,
